model,latency (ms),latency_per_tkn (ms),tp,batch_size,input_len,output_len,dtype
Mistral-7B-Instruct-v0.3,56.61855521611869,56.61855521611869,2,1,128,1,float16
Mistral-7B-Instruct-v0.3,56.65021622553468,56.65021622553468,2,2,128,1,float16
Mistral-7B-Instruct-v0.3,57.92147917672992,57.92147917672992,2,4,128,1,float16
Mistral-7B-Instruct-v0.3,71.575863705948,71.575863705948,2,8,128,1,float16
Mistral-7B-Instruct-v0.3,102.36338055692613,102.36338055692613,2,16,128,1,float16
Mistral-7B-Instruct-v0.3,162.95843459665775,162.95843459665775,2,32,128,1,float16
Mistral-7B-Instruct-v0.3,283.84765898808837,283.84765898808837,2,64,128,1,float16
Mistral-7B-Instruct-v0.3,526.6173685900867,526.6173685900867,2,128,128,1,float16
Mistral-7B-Instruct-v0.3,1037.7557142172009,1037.7557142172009,2,256,128,1,float16
Mistral-7B-Instruct-v0.3,99.32311698794365,99.32311698794365,2,1,2048,1,float16
Mistral-7B-Instruct-v0.3,160.1228432264179,160.1228432264179,2,2,2048,1,float16
Mistral-7B-Instruct-v0.3,270.1993280556053,270.1993280556053,2,4,2048,1,float16
Mistral-7B-Instruct-v0.3,512.5643709674478,512.5643709674478,2,8,2048,1,float16
Mistral-7B-Instruct-v0.3,955.7043201755732,955.7043201755732,2,16,2048,1,float16
Mistral-7B-Instruct-v0.3,1915.357569605112,1915.357569605112,2,32,2048,1,float16
Mistral-7B-Instruct-v0.3,3834.820979135111,3834.820979135111,2,64,2048,1,float16
Mistral-7B-Instruct-v0.3,7685.940434364602,7685.940434364602,2,128,2048,1,float16
Mistral-7B-Instruct-v0.3,15441.492287255824,15441.492287255824,2,256,2048,1,float16
Mistral-7B-Instruct-v0.3,2263.1576877553016,17.680919435588294,2,1,128,128,float16
Mistral-7B-Instruct-v0.3,2169.6415757760406,16.950324810750317,2,2,128,128,float16
Mistral-7B-Instruct-v0.3,2322.0678652171046,18.14115519700863,2,4,128,128,float16
Mistral-7B-Instruct-v0.3,2806.7337228450924,21.927607209727284,2,8,128,128,float16
Mistral-7B-Instruct-v0.3,2960.698183393106,23.13045455775864,2,16,128,128,float16
Mistral-7B-Instruct-v0.3,3655.4232938215137,28.557994482980575,2,32,128,128,float16
Mistral-7B-Instruct-v0.3,4118.432488758117,32.17525381842279,2,64,128,128,float16
Mistral-7B-Instruct-v0.3,5579.251977102831,43.58790607111587,2,128,128,128,float16
Mistral-7B-Instruct-v0.3,8646.883614733815,67.55377824010793,2,256,128,128,float16
Mistral-7B-Instruct-v0.3,2051.6976753715426,16.028888088840176,2,1,2048,128,float16
Mistral-7B-Instruct-v0.3,2506.2588076107204,19.580146934458753,2,2,2048,128,float16
Mistral-7B-Instruct-v0.3,2628.816564846784,20.5376294128655,2,4,2048,128,float16
Mistral-7B-Instruct-v0.3,3143.3353557717055,24.55730746696645,2,8,2048,128,float16
Mistral-7B-Instruct-v0.3,4219.226734805852,32.96270886567072,2,16,2048,128,float16
Mistral-7B-Instruct-v0.3,5547.603376861662,43.34065138173173,2,32,2048,128,float16
Mistral-7B-Instruct-v0.3,8213.090645009652,64.1647706641379,2,64,2048,128,float16
Mistral-7B-Instruct-v0.3,14071.284542838112,109.93191049092275,2,128,2048,128,float16
Mistral-7B-Instruct-v0.3,24773.937322804704,193.54638533441175,2,256,2048,128,float16
